Source_IP,Source_port,Destination_IP,Destination_port,Protocol,Timestamp,fwd_packets_amount,bwd_packets_amount,fwd_packets_length,bwd_packets_length,max_fwd_packet ,min_fwd_packet,max_bwd_packet,min_bwd_packet,FIN_count,SYN_count,RST_count,PSH_count,silence_windows,min_fwd_inter_arrival_time,max_fwd_inter_arrival_time,mean_fwd_inter_arrival_time,min_bwd_inter_arrival_time,max_bwd_inter_arrival_time,mean_bwd_inter_arrival_time,min_bib_inter_arrival_time,max_bib_inter_arrival_time,mean_bib_inter_arrival_time,first_packet_sizes_0,first_packet_sizes_1,first_packet_sizes_2,first_packet_sizes_3,first_packet_sizes_4,first_packet_sizes_5,first_packet_sizes_6,first_packet_sizes_7,first_packet_sizes_8,first_packet_sizes_9,first_packet_sizes_10,first_packet_sizes_11,first_packet_sizes_12,first_packet_sizes_13,first_packet_sizes_14,first_packet_sizes_15,first_packet_sizes_16,first_packet_sizes_17,first_packet_sizes_18,first_packet_sizes_19,first_packet_sizes_20,first_packet_sizes_21,first_packet_sizes_22,first_packet_sizes_23,first_packet_sizes_24,first_packet_sizes_25,first_packet_sizes_26,first_packet_sizes_27,first_packet_sizes_28,first_packet_sizes_29,min_packet_size,max_packet_size,mean_packet_size,STD_packet_size,mean_delta_byte,STD_delta_byte,bandwidth_0,bandwidth_1,bandwidth_2,bandwidth_3,bandwidth_4,bandwidth_5,bandwidth_6,bandwidth_7,bandwidth_8,bandwidth_9,bandwidth_10,bandwidth_11,bandwidth_12,bandwidth_13,bandwidth_14,bandwidth_15,bandwidth_16,bandwidth_17,bandwidth_18,bandwidth_19,bpp_0,bpp_1,bpp_2,beaconning_0,beaconning_1,beaconning_2,beaconning_3,beaconning_4,beaconning_5,beaconning_6,beaconning_7,beaconning_8,beaconning_9,beaconning_10,beaconning_11,beaconning_12,beaconning_13,beaconning_14,beaconning_15,beaconning_16,beaconning_17,beaconning_18,beaconning_19,pps_fwd,pps_bwd,count_big_requests,ACK_count,label
10.10.0.127,51580,95.142.206.173,443,tcp,1728380011.56456,2525,5143,486,978,2164,60,1434,60,1,2,1,353,25,5.96046447753906e-06,3.88909697532654,0.003116085505722,0.0,3.99960780143738,0.001516939530733,0.0,3.99960780143738,0.002043523201423,66,-66,60,2164,-60,-310,134,854,-60,-60,-642,-1434,-1434,-1434,60,-1434,-1434,-1434,60,-1434,-1434,60,-1434,60,-1434,60,-1434,-1434,60,-1434,60,2164,971.98087431694,639.571659866315,849.205741626794,652.467771991229,0,64348,0,32063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160987,131814,77570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3440423376195,129.482455568296,11,1463,VOD
10.10.0.127,52997,95.142.206.162,443,tcp,1728381610.21924,128,313,13,20,2163,60,1434,60,1,2,1,12,5,8.10623168945313e-06,0.016212940216065,0.001573491841555,0.0,0.016136169433594,0.000677629781607,0.0,0.016212940216065,0.000937653236649,66,-66,60,1812,-60,-1434,-1434,60,-581,134,868,-60,-60,-333,-623,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,60,-1434,60,1812,722.575757575758,661.633059079465,781.5,644.111500440723,0,64348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0203832768821,60.0313588875109,2,32,VOD
10.100.102.20,64436,212.29.228.19,443,tcp,1726532303.55946,1756,2235,10,9,1334,60,1506,60,1,2,0,3,3,0.0,12.3464810848236,0.033888845210195,0.0,12.343435049057,0.026853796833047,0.0,12.3464810848236,0.029949147609863,66,-66,60,1334,523,-66,-1506,-211,-60,66,66,-1506,-1506,66,60,118,-60,-60,60,0,0,0,0,0,0,0,0,0,0,0,60,1506,392.631578947368,563.55742345309,469.0,598.971804196343,0,65020,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7340,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166556551009812,0.149900895908831,2,18,VOD
10.10.0.127,56014,95.142.206.162,443,tcp,1728384706.08357,2900,5411,76,118,2131,60,1434,60,1,2,1,76,44,5.00679016113281e-06,3.64771199226379,0.002473612078305,0.0,3.71990203857422,0.001324533336684,0.0,3.71990203857422,0.001725487295377,66,-66,60,1876,-60,-1434,-1434,60,-581,134,-60,-333,-333,60,889,-60,-629,-1434,-1434,-1434,60,-1434,-1434,60,-1434,-1434,-1434,60,-1434,-1434,60,1876,845.60824742268,632.715853827417,907.761658031088,578.607310597649,0,64348,0,32063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50340,49841,35991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2498279618625,17.4668381513129,10,193,VOD
10.100.102.20,56809,62.90.229.13,443,tcp,1726545548.53955,1309,1662,8,8,1334,60,1506,60,0,2,0,3,3,0.0,15.6682260036469,0.048851995453569,0.0,15.6682538986206,0.038462473023526,0.0,15.6682538986206,0.043040017574494,66,-66,60,1334,619,-60,-1506,-212,-1506,66,66,-1506,60,118,-60,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1506,460.3125,595.3420990017,735.333333333333,633.546806128447,0,65020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7305,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124487101584215,0.124487101584215,2,15,VOD
10.100.102.20,53568,82.166.78.14,443,tcp,1726526450.81406,1329,1661,14,12,1334,60,1506,60,0,2,0,5,5,0.0,15.6081471443176,0.034001589180205,0.0,15.616986989975,0.027014071075835,0.0,15.616986989975,0.030119894340286,66,-66,60,1334,523,1334,-60,-212,66,-1506,-1506,-1506,74,66,60,118,-66,-212,66,-1506,-1506,66,66,-60,60,-66,0,0,0,0,60,1506,470.423076923077,607.186713969683,426.16,579.173112635592,0,65020,245,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12105,66,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309829882661149,0.265568470852414,3,25,VOD
10.100.102.20,57319,74.125.100.200,443,udp,1726548318.27904,196,306,21,21,1292,73,1292,63,0,0,0,0,6,0.0,3.02140593528748,0.037115224770137,0.0,3.08478808403015,0.023730186075946,0.0,3.08478808403015,0.028956217119893,1292,1292,-1292,-1292,-1277,-1292,-1292,1292,79,125,112,1288,251,833,-83,-158,-572,-65,-70,-482,-63,-80,-63,76,75,75,79,79,-65,117,63,1292,384.809523809524,494.911980538687,170.317073170732,328.816016391136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15094,670,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3709594088986,11.3709594088986,6,42,VOD
10.100.102.20,54008,74.125.98.167,443,udp,1726546528.46757,197,261,517,582,1334,60,1506,60,0,0,0,0,57,8.91685485839844e-05,3.94380903244019,0.027219116385213,0.0,6.48970890045166,0.045810972593753,0.0,6.48970890045166,0.037814038809731,1292,-1292,81,71,71,82,80,82,82,80,81,81,80,80,78,80,82,80,80,78,80,78,80,78,85,80,80,78,80,80,67,1292,700.563239308462,605.764201516419,336.667577413479,540.228466195833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267216,113824,112644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3356911179524,27.3953041211765,7,1099,VOD
10.10.0.127,51022,95.142.206.173,443,tcp,1728379349.34199,41,63,26,43,1845,60,1434,60,1,2,1,29,9,8.08238983154297e-05,0.073518991470337,0.013025435005746,0.0,0.095778226852417,0.007367936391679,0.0,0.095778226852417,0.009598296422225,66,-66,60,1845,-60,-60,-1434,-1434,60,-581,134,861,-60,-60,-333,-333,60,-621,-1117,60,864,-60,-629,-1434,60,-1434,-1434,60,-1434,-1434,60,1845,753.507246376812,631.332903827083,792.088235294118,589.511855274048,0,64348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6488758982375,80.457756293239,5,68,VOD
10.10.0.127,53296,95.142.206.170,443,tcp,1728381819.2575,231,547,17,44,2163,60,1434,60,1,2,1,24,8,1.40666961669922e-05,0.024953842163086,0.002299996165486,0.0,0.015184879302979,0.001023985132221,0.0,0.024953842163086,0.001402852161378,66,-66,60,1877,-60,-1434,-1434,-581,60,134,869,-60,-60,-333,-623,-1434,-1434,-1434,-1434,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,1877,960.114754098361,640.866066117055,614.333333333333,666.078890889727,0,64348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3311213297077,86.2687846180671,2,60,VOD
10.100.102.20,53484,82.166.22.12,443,tcp,1726552820.11917,1684,2211,10,8,1334,60,1506,60,1,2,0,3,3,0.0,13.1542418003082,0.018953083105155,0.0,28.157662153244,0.027156948018861,0.0,28.157662153244,0.023610013868751,66,-66,60,1334,523,-60,-212,-1506,-1506,66,66,66,-1506,60,118,-60,-60,60,0,0,0,0,0,0,0,0,0,0,0,0,60,1506,410.833333333333,573.552695438217,496.588235294118,606.115312152974,0,65020,245,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7275,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166469824611667,0.133175859689334,2,17,VOD
